Author,Title
SINGIRESU RAO,VIBRATION OF CONTINUOUS SYSTEMS 
"Ben Forta, etc",WAP development with WML and WML Script 
"SOUDRIS, DIMITRIOS",SCALABLE MULTI CORE ARCHITECTURES  DESIGN METHODOLOGIES AND TOOLS 
"DEAN, ANGELA",DESIGN AND ANALYSIS OF EXPERIMENTS 
PAUL D LEEDY,PRACTICAL RESEARCH PLANNING AND DESIGN
"KOTHARI, CR",RESEARCH METHODOLOGY METHODS AND TECHNIQUES 
"MARDER, MICHAEL.P",RESEARCH METHODS I N FOR SCIENCE 
"TROCHIM, WILLIAM M K",RESEARCH METHODS 
RENJITH KUMAR,RESEARCH METHODOLOGY
MURTHY P.RAMA,OPERATIONS RESEARCH 
"KORFHAGE, ROBERT R",INFORMATION STORAGE AND RETRIEVAL 
"Murdick , Robert G",Information system for Modern Management 
"BAEZA YATES, RICARDO",MODERN INFORMATION RETRIEVAL 
"SELVAM, VEENA",ENGLISH FOR ENGINEERING STUDENTS 
SHEETAL TANEJA,PYTHON PROGRAMMING A MODULAR AAPPROACH WITH  GRAPHICS DATABASE MOBILE AND WEB APPLICATION
Hamdy A. Taha,Operation Research CD 
R. Panneerselvam,Operations Research 
"RANGANATH, B J",OPERATION RESEARCH 
Bhaskar A,Operation Research 
Debasis Kendu,Statistical Computing 
"KUMAR, A C S",OPERATIONS RESEARCH  QUANTITATIVE ANALYSIS FOR BUSINESS DECISION 
P K GUPTA,Operation Research Methods andSOLUTION 
"Mustafi,C K",Operations Research  Methods and practice 
"NATARAJAN, A M",OPERATION RESEARCH 
"PANNEERSELVAM, R",RESEARCH METHODOLOGY 
L R POTTI,OPERATION RESEARCH
"Sharma,J.K.",Operations Research  Problems and Solutions 
"SOKOLOWSKI, JOHN A",PRINCIPLES OF MODELING AND SIMULATION  A MULTIDISCIPLINARY APPROACH 
SUJITH K Bose,Operations Reaserch Methods 
"Taha ,Hamdy A",Operations Research  An Introduction 
"Wagner,Harvey M",Principles of Operations Research  with Applications to Managerial Decisions 
"DIX ALAN, FINALAY JANET",HUMANCOMPUTER INTERACTION 
"BIRTA, LOUIS G",MODELLING AND SIMULATION 
"CHATURVEDI, DEVENDRA K",MODELING AND SIMULATION OF SYSTEMS USING MATLAB AND SIMULINK 
"Gordon ,Geoffrey",System Simulation 
"LAW, AVERIL M",SIMULATION MODELING AND ANALYSIS 
"PANNEERSELVAM, R",SYSTEM SIMULATION MODELLING AND LANGUAGES 
RajaramanV,Analog Computation And Simulation 
Zeigler,Theory of Modelling and simulation Integrating Discrete Event and continuous complex dynamics systems 
"Kumar, Vipin",Managing Cyber Threats Issues approaches and challenges 
"SARADHI VARMA, G P",THEORY OF COMPUTATION  FORMAL LANGUAGES AND AUTOMATA THEORY 
EFIM KINBER,Theory of Computing A general introduction 
Bernard M. Moret,Theory of Computation 
"MAKINSON, DAVID",SETS LOGIC AND MATHS FOR COMPUTING 
"MORET, BERNARD M",THEORY OF COMPUTATION 
"SIPSER, MICHAEL",INTRODUCTION TO THE THEORY OF COMPUTATION 
"WAI SING LOO, ALFRED",PEER TO PEER COMPUTING  BUILDING SUPERCOMPUTERS WITH WEB TECHNOLOGIES 
Cohen Daniel IA,Introduction to Computer Theory 
"Goodrich, Michael T",Data Structures and Algorithms in C 
Raymond Greedaw,Fundamentals of the Theory of Computation  Principles and Practice 
Bernard M. Moref,The Theory of Computation 
Kasturai &Sons,The Survey of Indian Industry 2005 
"SIPSER, MICHAEL",INTRODUTION TO THEORY OF COMPUTATION 
"LINT, J H VAN",INTRODUCTIO TO CODING TEORY 
"COVER, THOMAS M",ELEMENTS OF INFORMATION THEORY 
"Ganesan,L.",Information Theory and coding 
Mackay David J.C.,Informatin theory inference and leaning algorithms 
"MURALIDHAR KULKARNI, SHIVAPRAKASHA",INFORMATION THEORY AND CODING 
